timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,temperature.gpu,clocks.sm,clocks.mem,pstate,ecc.errors.uncorrected.volatile.total
2026/08/17 12:53:41.585, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96825, 97887, 382.95, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:53:41.586, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 115.77, 600.00, 48, 2422, 12481, P0, 0
2026/08/17 12:53:41.586, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 402.56, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:53:41.587, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96045, 97887, 86.12, 600.00, 33, 2370, 12481, P0, 0
2026/08/17 12:53:46.587, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 86.56, 600.00, 34, 2347, 12481, P0, 0
2026/08/17 12:53:46.587, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 397.55, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:53:46.588, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 38, 94397, 97887, 586.88, 600.00, 65, 2385, 12481, P0, 0
2026/08/17 12:53:46.589, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 95825, 97887, 399.53, 600.00, 44, 2385, 12481, P0, 0
2026/08/17 12:53:46.589, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96825, 97887, 381.78, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:53:46.590, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 86.91, 600.00, 44, 2422, 12481, P0, 0
2026/08/17 12:53:46.590, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 403.90, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:53:46.590, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96045, 97887, 87.13, 600.00, 33, 2370, 12481, P0, 0
2026/08/17 12:53:51.591, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 86.02, 600.00, 34, 2362, 12481, P0, 0
2026/08/17 12:53:51.591, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 396.39, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:53:51.592, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 36, 94399, 97887, 592.86, 600.00, 64, 2385, 12481, P0, 0
2026/08/17 12:53:51.592, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 95825, 97887, 380.09, 600.00, 46, 2385, 12481, P0, 0
2026/08/17 12:53:51.593, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 60, 96825, 97887, 403.53, 600.00, 54, 2392, 12481, P0, 0
2026/08/17 12:53:51.593, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 91.69, 600.00, 42, 2370, 12481, P0, 0
2026/08/17 12:53:51.594, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 401.27, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:53:51.594, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96045, 97887, 85.64, 600.00, 33, 2370, 12481, P0, 0
2026/08/17 12:53:56.595, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 86.35, 600.00, 34, 2362, 12481, P0, 0
2026/08/17 12:53:56.595, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 397.12, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:53:56.597, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 36, 94399, 97887, 580.78, 600.00, 65, 2392, 12481, P0, 0
2026/08/17 12:53:56.597, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 89.83, 600.00, 37, 2302, 12481, P0, 0
2026/08/17 12:53:56.597, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 384.09, 600.00, 54, 2385, 12481, P0, 0
2026/08/17 12:53:56.598, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96741, 97887, 511.41, 600.00, 51, 2392, 12481, P0, 0
2026/08/17 12:53:56.598, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 36, 95809, 97887, 440.77, 600.00, 58, 2370, 12481, P0, 0
2026/08/17 12:53:56.599, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96045, 97887, 86.86, 600.00, 33, 2370, 12481, P0, 0
2026/08/17 12:54:01.599, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 86.12, 600.00, 33, 2362, 12481, P0, 0
2026/08/17 12:54:01.600, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 398.79, 600.00, 54, 2392, 12481, P0, 0
2026/08/17 12:54:01.600, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 32, 94399, 97887, 583.73, 600.00, 67, 2385, 12481, P0, 0
2026/08/17 12:54:01.601, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 89.34, 600.00, 36, 2302, 12481, P0, 0
2026/08/17 12:54:01.601, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 380.87, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:01.602, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96741, 97887, 378.78, 600.00, 51, 2392, 12481, P0, 0
2026/08/17 12:54:01.602, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 404.05, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:01.603, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96045, 97887, 85.64, 600.00, 32, 2370, 12481, P0, 0
2026/08/17 12:54:06.603, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 85.15, 600.00, 33, 2362, 12481, P0, 0
2026/08/17 12:54:06.603, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 398.11, 600.00, 54, 2392, 12481, P0, 0
2026/08/17 12:54:06.604, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 35, 94399, 97887, 586.73, 600.00, 67, 2385, 12481, P0, 0
2026/08/17 12:54:06.605, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 89.12, 600.00, 35, 2302, 12481, P0, 0
2026/08/17 12:54:06.605, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 381.58, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:06.605, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96741, 97887, 378.27, 600.00, 52, 2392, 12481, P0, 0
2026/08/17 12:54:06.606, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 405.53, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:06.607, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 55, 96045, 97887, 464.87, 600.00, 43, 2287, 12481, P0, 0
2026/08/17 12:54:11.607, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 85.64, 600.00, 33, 2362, 12481, P0, 0
2026/08/17 12:54:11.608, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 393.65, 600.00, 54, 2392, 12481, P0, 0
2026/08/17 12:54:11.608, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 35, 94399, 97887, 585.04, 600.00, 68, 2385, 12481, P0, 0
2026/08/17 12:54:11.609, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 88.66, 600.00, 35, 2302, 12481, P0, 0
2026/08/17 12:54:11.609, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 382.09, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:11.609, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96741, 97887, 378.16, 600.00, 52, 2392, 12481, P0, 0
